time,taker_buy_vol,taker_sell_vol,cum_vol_delta
1779624000000,9731581.6743,5305224.6776,-1183508587.9257
1779627600000,14967283.8843,11877596.7302,-1180418900.7716
1779631200000,25176845.1197,35112150.181,-1190354205.8329
1779634800000,5208471.8008,4467441.6868,-1189613175.7189
1779638400000,8623814.8658,6916751.5881,-1187906112.4412
1779642000000,3142068.7672,3225403.4441,-1187989447.1181
1779645600000,2495696.5426,3733797.6357,-1189227548.2112
1779649200000,3283405.2381,3026191.2256,-1188970334.1987
1779652800000,5182937.7363,9616318.8992,-1193403715.3616
1779656400000,15744734.2583,23732372.9387,-1201391354.042
1779660000000,16330575.8479,15155459.0895,-1200216237.2836
1779663600000,9380671.0144,8453103.3513,-1199288669.6205
1779667200000,6036106.373,5379626.8942,-1198632190.1417
1779670800000,3411273.3419,4987973.8139,-1200208890.6137
1779674400000,10506771.6866,9747855.7591,-1199449974.6862
1779678000000,3873608.7331,6791368.7407,-1202367734.6938
1779681600000,7139811.1106,7294223.0925,-1202522146.6757
1779685200000,7390373.8095,6699115.9395,-1201830888.8057
1779688800000,12083993.428,15898079.5492,-1205644974.9269
1779692400000,18779288.8141,13215955.7096,-1200081641.8224
1779696000000,5019466.777,4507942.3108,-1199570117.3562
1779699600000,8327007.6116,6269625.2203,-1197512734.9649
1779703200000,4314058.3802,3557717.7502,-1196756394.3349
1779706800000,9205810.5217,4678814.8268,-1192229398.64
1779710400000,6314973.9064,5222004.4086,-1191136429.1422
1779714000000,4519199.5824,3986433.78,-1190603663.3398
1779717600000,11526409.1216,9164315.1476,-1188241569.3658
1779721200000,12567865.2457,9737162.683,-1185410866.8031
1779724800000,10457985.5027,6072556.6138,-1181025437.9142
1779728400000,4398343.443,7882447.1748,-1184509541.646
1779732000000,3987559.0893,3500750.4863,-1184022733.043
1779735600000,5913662.513,7846694.453,-1185955764.983
1779739200000,8827645.707,9748785.2253,-1186876904.5013
1779742800000,7042878.5308,5460662.752,-1185294688.7225
